"name","x","y","z"
"unknown processes","0.851139292881517","-2.67283388904465","-0.281759747921618"
"ByteCodeGenerator.exe","-0.850972334219947","-0.544610478948271","0.645839760200178"
"com.docker.service","-1.113049078265","-0.563457388658791","-0.346769132293031"
"sqlwriter.exe","-0.518545400944187","-1.56775989894688","-0.693308106695715"
"MsMpEng.exe","-0.728443269408083","-0.712065794558766","-1.24677901260104"
"vmms.exe","-1.29017169553131","-0.385120549495723","-0.275107359212526"
"dashost.exe","-0.740811743180754","-0.17405714932166","0.559452563057548"
"vmcompute.exe","-0.110701251699057","-0.136174433229105","0.0775347200622701"
"DriverInstaller.exe","-1.96234302996465","-1.30942260374474","-0.396678914027926"
"DriverToaster.exe","-1.13661006171392","-0.652895014165735","0.19634545041309"
"imstrayicon.exe","0.01821579521734","-1.49193358247349","0.404598086134749"
"LaunchTM.exe","-1.28926804089405","-0.471748398334824","0.141084882341677"
"Skype.exe","0.493973214997309","-1.01414374454309","-0.444001219472985"
"InstallAgentUserBroker.exe","-0.158723839140309","-0.570316350209092","-0.0605790740984973"
"Taskmgr.exe","0.263116421559805","0.265826817735819","0.105922001239839"
"reg.exe","1.43092518989276","3.8733326851349","-0.877157589301698"
"SkypeBrowserHost.exe","-0.664047731504047","0.243565840067957","0.291958503591807"
"LockAppHost.exe","-0.544175838896232","0.529975364062157","-0.246770356183135"
"firefox.exe","-0.450791808455231","-0.296570930959554","-0.567058389654695"
"taskhost.exe","0.594099725663064","-2.03465410117318","0.0111955051171913"
"mmc.exe","-1.11493093273929","-0.66404936954253","-0.258735307055179"
"AM_Delta.exe","-0.246453164261541","-1.25835407126806","-0.344647907863799"
"BdeUISrv.exe","-0.392848321743608","-0.455930273891858","0.0276990441063849"
"IntelPTTEKRecertification.exe","-0.519137875683876","0.0035356837624864","-1.09555316206222"
"regsvr32.exe","-0.00886269587966444","-1.31980801773034","-1.71104146316495"
"WerFault.exe","-0.52095182969411","-0.314799173106738","0.357703289735417"
"OneDriveStandaloneUpdater.exe","-0.948785153704526","0.28759201051956","-0.346386867571617"
"cacls.exe","0.644708325603546","-1.62182211091273","-0.111931639842029"
"Windows.WARP.JITService.exe","0.14996695705611","-0.562842261275114","1.36336511640009"
"notepad.exe","0.0536623516091248","1.00173642565302","1.78914347962876"
"Secure System","-2.07450912662171","-1.72956028608059","-2.38443044319368"
"RtkAudioService64.exe","-1.18113409064159","-1.28026184110858","-0.269001110238996"
"KillerService.exe","-0.480503239305449","-0.369994408191019","0.9361754926793"
"DbxSvc.exe","-2.04657435462705","-1.39296877842409","1.39016998284519"
"protoc.exe","2.18861935051954","-0.85905644930303","0.627833706720836"
"grpc_csharp_plugin.exe","3.29403218520957","0.117875759989755","0.0630099415816458"
"provtool.exe","-0.435308696236058","0.659047782963556","-0.301741636550835"
"WinStore.App.exe","-1.48513397657215","0.0730212690617262","-0.583585836108626"
"InstallerGenerator.exe","1.93772222157694","-0.671695343874075","0.32194120354647"
"candle.exe","1.80163406116661","0.877973302164737","-0.504914426437985"
"light.exe","1.75680300078486","0.0995123390459239","-0.623159904497803"
"WaaSMedic.exe","-0.318662873637706","-0.771115145701867","-0.249414452289649"
"OfficeClickToRun.exe","-0.285504157069925","-0.286196698589553","0.14079917806266"
"ApplicationFrameHost.exe","-1.10725145672363","-1.32679078327297","-0.836971961583266"
"consent.exe","0.678029876024756","-0.374370908417661","0.455972252553382"
"yapf.exe","1.31155003242304","1.45852938759191","-0.0195134714382811"
"rstudio.exe","0.851882502381433","0.514628203096659","1.57603179587462"
"rsession.exe","0.963000971818933","0.917653010979576","1.21776395892479"
"Rterm.exe","1.41145659087207","0.237358140214146","1.37874330270338"
"notepad++.exe","0.380335678026997","-0.694662970294554","1.00302442142832"
"SpeechRuntime.exe","-0.971051923308216","0.375769901331573","0.603166883061896"
"java.exe","-0.524654575137518","-0.259400455127042","1.59893029805099"
"urlopener.exe","0.339781184274003","1.49152480515736","2.89202115997802"
"pandoc.exe","0.413787051992782","1.33827214573522","2.8952074099189"
"SearchProtocolHost.exe","0.741956102872978","-0.0558936948027278","1.30340522639952"
"HxTsr.exe","-0.938263324643321","0.0540316345473029","0.939853003436525"
"com.docker.proxy.exe","0.246797338520831","1.64228355108221","-1.20847283499959"
"Docker.Watchguard.exe","0.84919830527894","0.567045450352314","-0.841911990812716"
"ConditionalAppStarter.exe","-0.842299100499409","-0.915648110775997","-0.298566737017"
"mobsync.exe","-0.666852558416269","0.601354450617233","-0.627367084095305"
"igfxEM.exe","0.166028341398975","-0.344969147279898","-0.479037607782499"
"NvProfileUpdater64.exe","-0.0989059256366503","0.458887250322088","0.183346209813913"
"OLicenseHeartbeat.exe","-1.43092838380941","0.187963421721578","-0.285926183474284"
"SettingSyncHost.exe","-1.55187725780769","-0.213163062837733","-0.669358786456707"
"RtkNGUI64.exe","0.575206556650922","-0.566875209002499","-0.910756161240163"
"TeamViewer.exe","-0.649303660332981","-1.41239471188624","-0.186857817026677"
"tv_w32.exe","-0.839427288810827","-0.677300065281174","-0.302782542662255"
"tv_x64.exe","-0.429295223635647","-0.163809051307227","-0.316500920181882"
"HxOutlook.exe","-0.139657776269488","-0.511109696242538","0.608580891167288"
"Spotify.exe","0.570664900641013","-0.0163803495746732","-0.22820401052232"
"git.exe","1.53692885585835","0.344676240485741","0.843807794973792"
"NvSHIM.exe","0.0730378763239253","0.628114134136221","0.0814749814666127"
"DropboxUpdate.exe","-0.0904378568403299","0.551333462676942","0.83317560046363"
